1177,0.01208449,-1.418906E-07,-9.7547E-07,Infinity,Infinity,Infinity,Infinity,Infinity,
1441,-0.03649958,1.800889E-11,-9.82677E-07,NaN,NaN,NaN,NaN,NaN,
1443,-0.01598213,2.495075E-11,-9.826271E-07,NaN,NaN,NaN,NaN,NaN,
1445,0.00613286,3.137198E-11,-9.825643E-07,NaN,NaN,NaN,NaN,NaN,
1447,0.02766835,3.560651E-11,-9.82493E-07,NaN,NaN,NaN,NaN,NaN,
1449,0.04649428,3.853945E-11,-9.824159E-07,NaN,NaN,NaN,NaN,NaN,
1451,0.0607312,3.923363E-11,-9.823375E-07,NaN,NaN,NaN,NaN,NaN,
1453,0.06895383,3.751553E-11,-9.822625E-07,NaN,NaN,NaN,NaN,NaN,
1455,0.07044175,3.439168E-11,-9.821937E-07,NaN,NaN,NaN,NaN,NaN,
1457,0.06500697,2.94109E-11,-9.821349E-07,NaN,NaN,NaN,NaN,NaN,
1459,0.05319769,2.373593E-11,-9.820874E-07,NaN,NaN,NaN,NaN,NaN,
1461,0.03606328,1.71238E-11,-9.820532E-07,NaN,NaN,NaN,NaN,NaN,
1463,0.01546752,1.177857E-11,-9.820296E-07,NaN,NaN,NaN,NaN,NaN,
1465,-0.006647475,5.478832E-12,-9.820186E-07,NaN,NaN,NaN,NaN,NaN,
1467,-0.02813598,4.633369E-13,-9.820177E-07,NaN,NaN,NaN,NaN,NaN,
1469,-0.04674264,-2.938176E-12,-9.820236E-07,NaN,NaN,NaN,NaN,NaN,
1471,-0.06077595,-4.44803E-12,-9.820325E-07,NaN,NaN,NaN,NaN,NaN,
1473,-0.06870101,-3.597652E-12,-9.820396E-07,NaN,NaN,NaN,NaN,NaN,
1475,-0.06984435,-8.382622E-13,-9.820413E-07,NaN,NaN,NaN,NaN,NaN,
1477,-0.06409633,4.784646E-12,-9.820318E-07,NaN,NaN,NaN,NaN,NaN,
1479,-0.0519738,1.139677E-11,-9.820089E-07,NaN,NaN,NaN,NaN,NaN,
